,Age,Candidate,Criminal_Case,PC_NAME,Education,Party,ST_NAME,Winner,Year,Liabilities_num,Assets_num,ST_PC
3018,48,Diya Kumari,0,RAJSAMAND,Others,BJP,RAJASTHAN,Yes,2019,0,165984623,RAJASTHAN:RAJSAMAND
3020,67,Sumedhanand Saraswati,0,SIKAR,Post Graduate,BJP,RAJASTHAN,Yes,2019,2719583,2827638,RAJASTHAN:SIKAR
3040,49,Manoj Rajoria,0,KARAULI DHOLPUR,Post Graduate,BJP,RAJASTHAN,Yes,2019,22121569,64867148,RAJASTHAN:KARAULI DHOLPUR
3045,56,Om Birla,1,KOTA,Post Graduate,BJP,RAJASTHAN,Yes,2019,0,48347737,RAJASTHAN:KOTA
3050,51,Gajendra Singh Shekhawat,1,JODHPUR,Post Graduate,BJP,RAJASTHAN,Yes,2019,58573744,138029511,RAJASTHAN:JODHPUR
3053,58,Narendra Kumar,1,JHUNJHUNU,Graduate,BJP,RAJASTHAN,Yes,2019,3278401,47474109,RAJASTHAN:JHUNJHUNU
3056,48,Dushyant,0,JHALAWAR BARAN,Post Graduate,BJP,RAJASTHAN,Yes,2019,85824156,370432373,RAJASTHAN:JHALAWAR BARAN
3089,42,Devaji Patel,0,JALORE,10th Pass,BJP,RAJASTHAN,Yes,2019,60936530,88332292,RAJASTHAN:JALORE
3095,49,Col. Rajyavardhan Rathore,0,JAIPUR RURAL,Graduate,BJP,RAJASTHAN,Yes,2019,0,127808070,RAJASTHAN:JAIPUR RURAL
3112,48,Nihal Chand,0,GANGANAGAR,Graduate,BJP,RAJASTHAN,Yes,2019,3631287,21014362,RAJASTHAN:GANGANAGAR
3119,42,Rahul Kaswan,0,CHURU,Graduate,BJP,RAJASTHAN,Yes,2019,15163379,36723865,RAJASTHAN:CHURU
3122,71,Jaskaur Meena,0,DAUSA,Post Graduate,BJP,RAJASTHAN,Yes,2019,5825431,143742564,RAJASTHAN:DAUSA
3125,65,Arjun Ram Meghwal,0,BIKANER,Post Graduate,BJP,RAJASTHAN,Yes,2019,1060314,23524459,RAJASTHAN:BIKANER
3129,43,Chandra Prakash,0,CHITTORGARH,Graduate,BJP,RAJASTHAN,Yes,2019,100000,19725115,RAJASTHAN:CHITTORGARH
